act_tag,speaker,pos,text
,A,"Do/AUX you/PRON have/VERB any/DET particular/ADJ hobbies/NOUN ,/PUNCT Tom/PROPN ?/PUNCT ","Do you have any particular hobbies , Tom ?"
,B,"Oh/INTJ ,/PUNCT yes/INTJ ./PUNCT ","Oh , yes ."
,B,"I/PRON love/VERB playing/VERB badminton/NOUN ,/PUNCT table/NOUN tennis/NOUN and/CCONJ computer/NOUN games/NOUN ./PUNCT ","I love playing badminton , table tennis and computer games ."
,B,And/CCONJ playing/VERB the/DET games/NOUN has/AUX become/VERB my/PRON favorite/NOUN ./PUNCT ,And playing the games has become my favorite .
,A,I/PRON hear/VERB many/ADJ teenagers/NOUN will/AUX spend/VERB hours/NOUN and/CCONJ hours/NOUN sitting/VERB at/ADP computers/NOUN ./PUNCT ,I hear many teenagers will spend hours and hours sitting at computers .
,A,And/CCONJ they/PRON do/AUX n't/PART care/VERB about/ADP their/PRON own/ADJ health/NOUN at/ADV all/ADV ./PUNCT ,And they don't care about their own health at all .
,A,How/SCONJ about/ADP you/PRON ?/PUNCT ,How about you ?
,B,I/PRON 'm/AUX no/ADV better/ADJ than/ADP them/PRON ./PUNCT ,I'm no better than them .
,B,"They/PRON say/VERB it/PRON 's/AUX mindless/ADJ to/PART sit/VERB in/ADP front/NOUN of/ADP a/DET machine/NOUN all/DET the/DET time/NOUN ,/PUNCT but/CCONJ I/PRON think/VERB it/PRON 's/AUX stimulating/ADJ ./PUNCT ","They say it's mindless to sit in front of a machine all the time , but I think it's stimulating ."
,A,"You/PRON wo/AUX n't/PART play/VERB online/ADJ games/NOUN full/ADJ of/ADP violence/NOUN ,/PUNCT will/AUX you/PRON ?/PUNCT ","You won't play online games full of violence , will you ?"
,B,Once/ADV in/ADP a/DET while/NOUN ./PUNCT ,Once in a while .
,A,It/PRON 's/AUX no/ADV good/ADJ ./PUNCT ,It's no good .
,A,And/CCONJ I/PRON think/VERB spending/VERB several/ADJ hours/NOUN each/DET day/NOUN playing/VERB computer/NOUN games/NOUN is/AUX a/DET waste/NOUN of/ADP time/NOUN ./PUNCT ,And I think spending several hours each day playing computer games is a waste of time .
,A,You/PRON might/AUX as/ADV well/ADV do/VERB something/PRON healthy/ADJ and/CCONJ meaningful/ADJ ./PUNCT ,You might as well do something healthy and meaningful .
,B,I/PRON hope/VERB I/PRON can/AUX practice/VERB self/NOUN -/PUNCT control/NOUN again/ADV ./PUNCT ,I hope I can practice self-control again .
